TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-01 11:50:13,1785585013182,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:13.181Z"",""level"":""INFO"",""message"":""🚀 Starting Loaf Markets Expert Algorithmic Trading Loop""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:13,1785585013182,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:13.181Z"",""level"":""INFO"",""message"":""Fetching portfolio state...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:16,1785585016412,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:16.411Z"",""level"":""INFO"",""message"":""Evaluating open positions for exit signals...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:16,1785585016412,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:16.411Z"",""level"":""INFO"",""message"":""Holding position in metlife: Holding: -4.32% PnL""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:16,1785585016412,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:16.411Z"",""level"":""INFO"",""message"":""Ranking new trade opportunities...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:16,1785585016412,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:16.411Z"",""level"":""INFO"",""message"":""🏁 Trading loop completed in 3230ms""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:13,1785585013805,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:13.804Z"",""level"":""INFO"",""message"":""Portfolio retrieved"",""cash"":""$96,781.22"",""openPositionsCount"":1}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:13,1785585013805,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:13.804Z"",""level"":""INFO"",""message"":""Fetching tradeable markets list...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:14,1785585014027,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:14.026Z"",""level"":""INFO"",""message"":""Discovered 10 tradeable properties. Beginning TA analysis...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:12,1785585012996,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,8zpqf-1785585012996-6156fa926bfc,node,,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,3233,iad1,209,2048,,prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,01KYYJJ204ZA1BXRTB09YSMCM3,gYAI3rsZ8Gk7,2,,
2026-08-01 11:50:10,1785585010721,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:10.720Z"",""level"":""INFO"",""message"":""🚀 Starting Loaf Markets Expert Algorithmic Trading Loop""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:10,1785585010721,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:10.721Z"",""level"":""INFO"",""message"":""Fetching portfolio state...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:10,1785585010791,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),error,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"(node:4) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:11,1785585011764,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:11.763Z"",""level"":""INFO"",""message"":""Portfolio retrieved"",""cash"":""$96,781.22"",""openPositionsCount"":1}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:11,1785585011764,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:11.764Z"",""level"":""INFO"",""message"":""Fetching tradeable markets list...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
2026-08-01 11:50:12,1785585012003,llloa.vercel.app/api/bot,GET,secret=loaf_expert_bot_secret_2026,200,hz97p-1785585010505-35a6c4717973,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),info,production,main,MISS,function,/api/bot,llloa.vercel.app,llloa-c66h2sed1-muratcans-projects-ce0b9ee3.vercel.app,dpl_6DbjGeGC49rbJXjG11BZDnM5PU93,,,,,"{""timestamp"":""2026-08-01T11:50:12.002Z"",""level"":""INFO"",""message"":""Discovered 10 tradeable properties. Beginning TA analysis...""}",prj_oOedlrKlZLcPuiRcAbo6QJoEJkdP,,,,,,,
